'sample interval','MLII','V1'
'0.00277778 sec','mV','mV'
0,-5.955,-5.635
1,-5.955,-5.635
2,-5.955,-5.635
3,-5.955,-5.635
4,-5.955,-5.635
5,-5.955,-5.635
6,-5.955,-5.635
7,-5.935,-5.635
8,-5.935,-5.605
9,-5.950,-5.620
10,-5.960,-5.635
11,-5.970,-5.670
12,-5.995,-5.710
13,-6.005,-5.755
14,-6.040,-5.770
15,-6.090,-5.785
16,-6.130,-5.760
17,-6.160,-5.745
18,-6.185,-5.735
19,-6.215,-5.735
20,-6.205,-5.735
21,-6.185,-5.770
22,-6.190,-5.795
23,-6.180,-5.800
24,-6.170,-5.810
25,-6.180,-5.825
26,-6.180,-5.805
27,-6.185,-5.805
28,-6.185,-5.795
29,-6.185,-5.760
30,-6.200,-5.760
31,-6.200,-5.765
32,-6.235,-5.750
33,-6.235,-5.750
34,-6.215,-5.760
35,-6.190,-5.760
36,-6.175,-5.785
37,-6.175,-5.795
38,-6.195,-5.810
39,-6.220,-5.800
40,-6.220,-5.810
41,-6.235,-5.800
42,-6.230,-5.805
43,-6.230,-5.815
44,-6.225,-5.820
45,-6.225,-5.825
46,-6.230,-5.815
47,-6.220,-5.800
48,-6.225,-5.805
49,-6.210,-5.770
50,-6.210,-5.775
51,-6.200,-5.780
52,-6.185,-5.820
53,-6.200,-5.840
54,-6.170,-5.885
55,-6.155,-5.965
56,-6.115,-6.050
57,-6.020,-6.155
58,-5.875,-6.295
59,-5.690,-6.450
60,-5.515,-6.605
61,-5.395,-6.730
62,-5.355,-6.790
63,-5.360,-6.730
64,-5.350,-6.620
65,-5.320,-6.445
66,-5.250,-6.295
67,-5.135,-6.160
68,-5.010,-6.030
69,-4.895,-5.875
70,-4.875,-5.630
71,-4.965,-5.315
72,-5.260,-5.010
73,-5.695,-4.780
74,-6.200,-4.715
75,-6.620,-4.820
76,-6.910,-5.050
77,-7.040,-5.330
78,-7.100,-5.565
79,-7.130,-5.730
80,-7.170,-5.815
81,-7.240,-5.860
82,-7.290,-5.895
83,-7.290,-5.920
84,-7.260,-5.975
85,-7.195,-6.045
86,-7.180,-6.105
87,-7.165,-6.125
88,-7.145,-6.130
89,-7.105,-6.090
90,-7.070,-6.070
91,-7.020,-6.085
92,-6.920,-6.070
93,-6.805,-6.080
94,-6.690,-6.050
95,-6.565,-6.040
96,-6.455,-5.995
97,-6.350,-5.960
98,-6.295,-5.880
99,-6.260,-5.820
100,-6.270,-5.765
101,-6.290,-5.720
102,-6.290,-5.685
103,-6.260,-5.685
104,-6.215,-5.705
105,-6.180,-5.725
106,-6.220,-5.740
107,-6.300,-5.730
108,-6.350,-5.715
109,-6.330,-5.705
110,-6.215,-5.720
111,-6.105,-5.755
112,-6.080,-5.790
113,-6.115,-5.830
114,-6.155,-5.825
115,-6.190,-5.840
116,-6.200,-5.825
117,-6.160,-5.840
118,-6.135,-5.875
119,-6.115,-5.895
120,-6.130,-5.905
121,-6.165,-5.920
122,-6.205,-5.905
123,-6.235,-5.890
124,-6.225,-5.895
125,-6.225,-5.905
126,-6.245,-5.950
127,-6.260,-6.005
128,-6.295,-6.055
129,-6.305,-6.090
130,-6.295,-6.115
131,-6.305,-6.110
132,-6.325,-6.110
133,-6.320,-6.095
134,-6.325,-6.085
135,-6.320,-6.080
136,-6.285,-6.080
137,-6.250,-6.090
138,-6.255,-6.105
139,-6.270,-6.120
140,-6.330,-6.170
141,-6.345,-6.160
142,-6.325,-6.180
143,-6.335,-6.175
144,-6.350,-6.165
145,-6.385,-6.185
146,-6.380,-6.175
147,-6.330,-6.170
148,-6.270,-6.175
149,-6.270,-6.200
150,-6.295,-6.245
151,-6.325,-6.265
152,-6.370,-6.285
153,-6.440,-6.280
154,-6.515,-6.270
155,-6.590,-6.260
156,-6.615,-6.270
157,-6.605,-6.280
158,-6.550,-6.240
159,-6.495,-6.215
160,-6.455,-6.195
161,-6.395,-6.150
162,-6.330,-6.105
163,-6.275,-6.095
164,-6.280,-6.085
165,-6.335,-6.080
166,-6.390,-6.095
167,-6.420,-6.095
168,-6.410,-6.100
169,-6.380,-6.100
170,-6.335,-6.095
171,-6.290,-6.085
172,-6.255,-6.075
173,-6.210,-6.055
174,-6.185,-6.050
175,-6.160,-6.045
176,-6.155,-6.050
177,-6.145,-6.045
178,-6.175,-6.020
179,-6.190,-6.005
180,-6.190,-5.980
181,-6.160,-5.965
182,-6.110,-5.945
183,-6.080,-5.930
184,-6.040,-5.940
185,-6.005,-5.950
186,-5.995,-5.950
187,-6.010,-5.950
188,-6.010,-5.950
189,-6.035,-5.940
190,-6.085,-5.910
191,-6.125,-5.885
192,-6.155,-5.845
193,-6.160,-5.840
194,-6.095,-5.820
195,-6.025,-5.810
196,-6.005,-5.810
197,-5.970,-5.820
198,-5.975,-5.820
199,-6.025,-5.825
200,-6.040,-5.825
201,-6.075,-5.815
202,-6.100,-5.800
203,-6.075,-5.790
204,-6.060,-5.790
205,-6.055,-5.780
206,-6.070,-5.775
207,-6.080,-5.755
208,-6.040,-5.755
209,-6.035,-5.745
210,-6.020,-5.785
211,-6.050,-5.795
212,-6.065,-5.795
213,-6.065,-5.780
214,-6.045,-5.785
215,-6.035,-5.770
216,-6.090,-5.785
217,-6.155,-5.815
218,-6.180,-5.805
219,-6.170,-5.800
220,-6.125,-5.815
221,-6.060,-5.820
222,-6.045,-5.805
223,-6.040,-5.800
224,-6.045,-5.790
225,-6.050,-5.790
226,-6.045,-5.780
227,-6.050,-5.790
228,-6.055,-5.795
229,-6.045,-5.805
230,-6.060,-5.795
231,-6.105,-5.760
232,-6.160,-5.735
233,-6.195,-5.735
234,-6.160,-5.730
235,-6.095,-5.765
236,-6.055,-5.800
237,-6.025,-5.865
238,-6.020,-5.870
239,-6.080,-5.885
240,-6.140,-5.865
241,-6.190,-5.830
242,-6.180,-5.800
243,-6.140,-5.795
244,-6.075,-5.780
245,-6.010,-5.810
246,-5.970,-5.830
247,-5.990,-5.850
248,-6.035,-5.850
249,-6.095,-5.850
250,-6.160,-5.825
251,-6.165,-5.805
252,-6.145,-5.800
253,-6.095,-5.790
254,-6.055,-5.825
255,-6.025,-5.840
256,-6.045,-5.840
257,-6.060,-5.850
258,-6.070,-5.825
259,-6.075,-5.825
260,-6.100,-5.810
261,-6.095,-5.815
262,-6.095,-5.840
263,-6.105,-5.860
264,-6.110,-5.860
265,-6.085,-5.875
266,-6.070,-5.880
267,-6.050,-5.850
268,-6.010,-5.840
269,-5.985,-5.825
270,-6.000,-5.850
271,-5.995,-5.870
272,-6.045,-5.865
273,-6.080,-5.855
274,-6.090,-5.845
275,-6.100,-5.850
276,-6.060,-5.855
277,-6.020,-5.865
278,-6.030,-5.865
279,-6.040,-5.870
280,-6.065,-5.865
281,-6.035,-5.855
282,-5.980,-5.855
283,-5.940,-5.855
284,-5.955,-5.855
285,-5.990,-5.875
286,-5.995,-5.880
287,-5.975,-5.870
288,-5.940,-5.870
289,-5.880,-5.905
290,-5.850,-5.945
291,-5.820,-5.985
292,-5.810,-5.985
293,-5.820,-5.985
294,-5.865,-5.920
295,-5.900,-5.860
296,-5.950,-5.815
297,-5.950,-5.810
298,-5.955,-5.805
299,-5.940,-5.835
300,-5.935,-5.890
301,-5.960,-5.930
302,-5.970,-5.940
303,-5.995,-5.880
304,-5.920,-5.815
305,-5.845,-5.745
306,-5.795,-5.710
307,-5.770,-5.710
308,-5.790,-5.725
309,-5.860,-5.725
310,-5.935,-5.750
311,-6.020,-5.765
312,-6.050,-5.800
313,-6.030,-5.830
314,-6.000,-5.865
315,-5.960,-5.895
316,-5.975,-5.925
317,-5.990,-5.935
318,-6.020,-5.895
319,-6.070,-5.885
320,-6.130,-5.870
321,-6.170,-5.870
322,-6.195,-5.885
323,-6.205,-5.905
324,-6.215,-5.920
325,-6.190,-5.915
326,-6.165,-5.895
327,-6.120,-5.885
328,-6.070,-5.865
329,-6.050,-5.870
330,-6.050,-5.885
331,-6.075,-5.885
332,-6.100,-5.885
333,-6.130,-5.875
334,-6.140,-5.865
335,-6.115,-5.855
336,-6.130,-5.845
337,-6.120,-5.840
338,-6.125,-5.830
339,-6.130,-5.820
340,-6.105,-5.825
341,-6.085,-5.805
342,-6.075,-5.810
343,-6.030,-5.835
344,-6.000,-5.865
345,-5.985,-5.895
346,-6.015,-5.885
347,-6.090,-5.885
348,-6.170,-5.830
349,-6.180,-5.805
350,-6.115,-5.805
351,-6.030,-5.850
352,-5.970,-5.920
353,-5.970,-5.980
354,-6.025,-6.020
355,-6.070,-6.075
356,-6.130,-6.120
357,-6.115,-6.190
358,-6.030,-6.290
359,-5.905,-6.455
360,-5.765,-6.620
361,-5.610,-6.795
362,-5.530,-6.925
363,-5.490,-6.935
364,-5.490,-6.870
365,-5.490,-6.700
366,-5.445,-6.490
367,-5.305,-6.245
368,-5.085,-6.040
369,-4.840,-5.790
370,-4.695,-5.530
371,-4.710,-5.235
372,-4.910,-4.915
373,-5.290,-4.680
374,-5.755,-4.535
375,-6.175,-4.530
376,-6.455,-4.700
377,-6.635,-4.940
378,-6.740,-5.165
379,-6.820,-5.350
380,-6.940,-5.485
381,-7.070,-5.515
382,-7.150,-5.580
383,-7.230,-5.640
384,-7.265,-5.685
385,-7.270,-5.750
386,-7.255,-5.795
387,-7.220,-5.800
388,-7.215,-5.795
389,-7.215,-5.770
390,-7.200,-5.745
391,-7.180,-5.765
392,-7.130,-5.815
393,-7.055,-5.855
394,-6.995,-5.890
395,-6.965,-5.925
396,-6.925,-5.940
397,-6.825,-5.920
398,-6.705,-5.865
399,-6.565,-5.780
400,-6.425,-5.740
401,-6.325,-5.720
402,-6.265,-5.725
403,-6.235,-5.740
404,-6.225,-5.745
405,-6.235,-5.725
406,-6.260,-5.740
407,-6.290,-5.725
408,-6.280,-5.720
409,-6.225,-5.690
410,-6.150,-5.670
411,-6.090,-5.670
412,-6.090,-5.675
413,-6.115,-5.685
414,-6.160,-5.665
415,-6.200,-5.680
416,-6.220,-5.695
417,-6.210,-5.725
418,-6.190,-5.745
419,-6.170,-5.780
420,-6.145,-5.795
421,-6.125,-5.795
422,-6.110,-5.800
423,-6.130,-5.785
424,-6.140,-5.775
425,-6.180,-5.775
426,-6.185,-5.775
427,-6.190,-5.775
428,-6.185,-5.800
429,-6.165,-5.825
430,-6.170,-5.855
431,-6.195,-5.885
432,-6.225,-5.895
433,-6.250,-5.895
434,-6.270,-5.895
435,-6.290,-5.880
436,-6.305,-5.900
437,-6.325,-5.920
438,-6.305,-5.910
439,-6.290,-5.940
440,-6.275,-5.965
441,-6.275,-5.990
442,-6.280,-6.020
443,-6.280,-6.020
444,-6.290,-6.020
445,-6.310,-6.005
446,-6.365,-6.005
447,-6.415,-6.015
448,-6.430,-6.005
449,-6.410,-6.025
450,-6.360,-6.030
451,-6.305,-6.055
452,-6.280,-6.100
453,-6.285,-6.130
454,-6.360,-6.135
455,-6.440,-6.115
456,-6.495,-6.100
457,-6.475,-6.080
458,-6.385,-6.095
459,-6.320,-6.110
460,-6.285,-6.160
461,-6.295,-6.180
462,-6.340,-6.170
463,-6.385,-6.125
464,-6.400,-6.110
465,-6.410,-6.110
466,-6.380,-6.120
467,-6.325,-6.160
468,-6.335,-6.180
469,-6.325,-6.185
470,-6.325,-6.140
471,-6.305,-6.070
472,-6.305,-6.025
473,-6.285,-5.990
474,-6.245,-5.980
475,-6.195,-6.000
476,-6.130,-6.045
477,-6.090,-6.055
478,-6.100,-6.065
479,-6.120,-6.060
480,-6.160,-6.025
481,-6.165,-5.995
482,-6.130,-5.965
483,-6.095,-5.940
484,-6.090,-5.930
485,-6.065,-5.890
486,-6.070,-5.865
487,-6.065,-5.835
488,-6.030,-5.825
489,-6.010,-5.805
490,-6.005,-5.815
491,-6.040,-5.840
492,-6.055,-5.855
493,-6.020,-5.855
494,-5.980,-5.850
495,-5.950,-5.840
496,-5.950,-5.810
497,-5.975,-5.805
498,-6.020,-5.765
499,-6.055,-5.765
500,-6.060,-5.760
501,-6.065,-5.770
502,-6.055,-5.770
503,-6.035,-5.770
504,-5.990,-5.775
505,-5.950,-5.770
506,-5.935,-5.790
507,-5.945,-5.785
508,-5.970,-5.775
509,-5.985,-5.770
510,-5.990,-5.760
511,-5.990,-5.755
512,-5.975,-5.740
513,-5.960,-5.735
514,-5.975,-5.725
515,-6.025,-5.720
516,-6.080,-5.715
517,-6.095,-5.705
518,-6.070,-5.735
519,-6.020,-5.730
520,-5.985,-5.750
521,-5.995,-5.745
522,-6.040,-5.780
523,-6.050,-5.775
524,-6.070,-5.780
525,-6.055,-5.770
526,-6.070,-5.800
527,-6.110,-5.810
528,-6.120,-5.800
529,-6.105,-5.810
530,-6.075,-5.805
531,-6.040,-5.800
532,-6.020,-5.790
533,-5.995,-5.785
534,-5.985,-5.765
535,-6.000,-5.770
536,-6.015,-5.765
537,-6.015,-5.785
538,-6.020,-5.795
539,-6.050,-5.785
540,-6.070,-5.790
541,-6.100,-5.775
542,-6.065,-5.755
543,-6.015,-5.740
544,-5.990,-5.715
545,-5.990,-5.715
546,-6.035,-5.750
547,-6.065,-5.755
548,-6.075,-5.780
549,-6.060,-5.775
550,-6.025,-5.780
551,-6.025,-5.765
552,-6.055,-5.760
553,-6.080,-5.765
554,-6.075,-5.780
555,-6.060,-5.785
556,-6.005,-5.795
557,-5.995,-5.790
558,-5.960,-5.760
559,-5.965,-5.740
560,-5.970,-5.725
561,-6.000,-5.695
562,-6.040,-5.680
563,-6.045,-5.660
564,-6.015,-5.685
565,-5.975,-5.710
566,-5.955,-5.735
567,-5.975,-5.730
568,-5.980,-5.730
569,-5.980,-5.730
570,-5.975,-5.710
571,-5.985,-5.715
572,-6.020,-5.715
573,-6.025,-5.710
574,-6.020,-5.715
575,-5.990,-5.750
576,-5.970,-5.790
577,-5.950,-5.845
578,-5.970,-5.850
579,-6.015,-5.850
580,-6.040,-5.805
581,-6.065,-5.765
582,-6.050,-5.735
583,-6.030,-5.725
584,-5.995,-5.725
585,-5.985,-5.745
586,-5.990,-5.740
587,-5.975,-5.730
588,-5.975,-5.745
589,-5.980,-5.755
590,-5.975,-5.745
591,-5.955,-5.720
592,-5.940,-5.710
593,-5.910,-5.710
594,-5.895,-5.720
595,-5.875,-5.750
596,-5.875,-5.785
597,-5.855,-5.820
598,-5.840,-5.815
599,-5.840,-5.830
600,-5.830,-5.805
601,-5.830,-5.755
602,-5.820,-5.705
603,-5.825,-5.655
604,-5.840,-5.645
605,-5.870,-5.655
606,-5.890,-5.645
607,-5.925,-5.690
608,-5.935,-5.695
609,-5.905,-5.730
610,-5.835,-5.710
611,-5.790,-5.705
612,-5.750,-5.685
613,-5.775,-5.665
614,-5.805,-5.605
615,-5.840,-5.565
616,-5.835,-5.530
617,-5.820,-5.505
618,-5.865,-5.520
619,-5.940,-5.555
620,-6.015,-5.590
621,-6.045,-5.610
622,-6.030,-5.630
623,-6.005,-5.665
624,-5.985,-5.685
625,-5.955,-5.710
626,-5.965,-5.725
627,-6.000,-5.730
628,-6.015,-5.735
629,-6.025,-5.730
630,-6.045,-5.725
631,-6.055,-5.715
632,-6.085,-5.700
633,-6.095,-5.695
634,-6.100,-5.710
