'sample interval','ECG1','ECG2'
'0.0078125 sec','mV','mV'
0,0.635,0.210
1,0.510,0.180
2,0.660,0.170
3,0.450,0.150
4,0.460,0.160
5,0.640,0.170
6,0.520,0.140
7,0.550,0.070
8,0.570,0.080
9,0.440,0.100
10,0.680,0.090
11,0.350,0.010
12,0.510,0.060
13,0.630,0.030
14,0.350,0.010
15,0.440,0.020
16,0.550,0.000
17,0.260,0.010
18,0.360,-0.030
19,0.370,-0.030
20,0.140,-0.020
21,0.170,-0.020
22,0.290,-0.020
23,0.360,-0.030
24,0.150,0.120
25,0.440,0.230
26,0.470,0.200
27,0.410,0.100
28,-0.140,0.130
29,0.495,-0.020
30,0.410,-0.060
31,0.220,-0.040
32,0.280,-0.100
33,0.200,-0.140
34,-0.060,-0.090
35,0.160,-0.150
36,0.060,-0.030
37,0.070,-0.100
38,-0.060,-0.100
39,0.020,-0.080
40,-0.140,-0.080
41,-0.110,-0.070
42,-0.140,-0.060
43,-0.150,0.010
44,0.050,0.080
45,0.130,0.020
46,0.630,-0.240
47,1.265,-0.620
48,1.360,-0.110
49,1.030,0.160
50,0.390,0.010
51,-0.250,0.390
52,-0.300,0.640
53,-0.120,0.890
54,-0.480,1.310
55,-0.230,1.230
56,-0.600,0.590
57,-0.380,-0.050
58,-0.950,-0.140
59,-0.940,-0.230
60,-0.910,-0.200
61,-1.030,-0.250
62,-1.140,-0.260
63,-1.180,-0.230
64,-1.200,-0.230
65,-1.340,-0.330
66,-1.410,-0.300
67,-1.590,-0.370
68,-1.590,-0.410
69,-1.480,-0.460
70,-1.840,-0.440
71,-1.750,-0.580
72,-1.830,-0.600
73,-1.900,-0.580
74,-1.840,-0.630
75,-1.750,-0.590
76,-1.630,-0.610
77,-1.590,-0.610
78,-1.360,-0.540
79,-1.010,-0.510
80,-0.960,-0.490
81,-0.680,-0.390
82,-0.510,-0.300
83,-0.220,-0.230
84,-0.140,-0.160
85,-0.010,-0.150
86,-0.160,-0.070
87,0.090,-0.040
88,0.110,0.020
89,0.090,-0.030
90,0.020,0.050
91,0.090,0.070
92,0.050,0.030
93,-0.080,0.120
94,0.060,0.030
95,-0.030,0.040
96,-0.050,0.120
97,0.030,0.060
98,-0.020,0.040
99,0.050,-0.030
100,-0.010,0.040
101,0.120,0.030
102,0.190,0.090
103,0.240,0.160
104,0.430,0.300
105,0.490,0.180
106,0.690,0.100
107,0.810,-0.050
108,0.790,-0.350
109,0.800,-0.680
110,0.790,-1.010
111,0.150,-0.990
112,-0.490,-1.630
113,-1.130,-2.090
114,-1.770,-1.870
115,-2.410,-1.510
116,-2.910,-1.300
117,-3.150,-1.000
118,-2.515,-0.710
119,-1.880,-0.320
120,-1.245,-0.240
121,-0.610,-0.030
122,-0.430,0.070
123,-0.460,0.240
124,-0.210,0.290
125,-0.250,0.270
126,-0.630,0.310
127,-0.260,0.340
128,-0.210,0.340
129,-0.190,0.410
130,-0.160,0.490
131,0.000,0.500
132,0.070,0.600
133,0.220,0.680
134,0.380,0.680
135,0.470,0.730
136,0.640,0.770
137,0.750,0.760
138,0.850,0.760
139,0.960,0.730
140,1.000,0.750
141,1.150,0.670
142,1.100,0.620
143,1.230,0.530
144,0.980,0.480
145,0.960,0.410
146,0.970,0.340
147,0.840,0.330
148,0.780,0.250
149,0.640,0.230
150,0.520,0.210
151,0.460,0.210
152,0.510,0.190
153,0.400,0.240
154,0.380,0.200
155,0.340,0.150
156,0.250,0.200
157,0.330,0.190
158,0.280,0.200
159,0.320,0.220
160,0.380,0.240
161,0.350,0.180
162,0.350,0.220
163,0.350,0.210
164,0.340,0.190
165,0.270,0.240
166,0.310,0.190
167,0.190,0.200
168,0.350,0.230
169,0.170,0.220
170,0.140,0.190
171,0.080,0.230
172,0.030,0.240
173,0.150,0.220
174,0.110,0.240
175,0.190,0.220
176,0.190,0.230
177,0.140,0.300
178,0.220,0.410
179,0.300,0.440
180,0.480,0.410
181,0.480,0.320
182,0.430,0.160
183,0.430,0.050
184,-0.030,0.090
185,0.080,0.020
186,-0.050,-0.010
187,-0.160,-0.020
188,-0.100,-0.010
189,0.120,0.040
190,-0.150,0.070
191,-0.080,0.040
192,-0.030,0.040
193,-0.180,0.030
194,-0.110,-0.040
195,-0.220,-0.010
196,0.040,0.050
197,-0.070,0.150
198,0.130,-0.030
199,0.650,-0.460
200,1.285,-0.980
201,0.860,-0.345
202,0.730,0.270
203,0.090,0.100
204,-0.510,0.500
205,-0.350,0.810
206,-0.460,1.070
207,-0.670,1.590
208,-0.480,1.480
209,-0.550,0.840
210,-0.390,0.200
211,-0.710,-0.090
212,-0.760,-0.180
