'sample interval','ECG1','ECG2'
'0.004 sec','mV','mV'
0,-0.015,-0.320
1,-0.045,-0.350
2,-0.030,-0.345
3,-0.025,-0.360
4,-0.005,-0.365
5,-0.045,-0.360
6,-0.015,-0.340
7,-0.025,-0.340
8,-0.040,-0.340
9,-0.045,-0.360
10,-0.050,-0.365
11,-0.040,-0.345
12,-0.045,-0.350
13,-0.035,-0.345
14,-0.045,-0.360
15,-0.050,-0.360
16,-0.040,-0.355
17,-0.045,-0.335
18,-0.055,-0.335
19,-0.050,-0.290
20,-0.035,-0.240
21,-0.040,-0.230
22,-0.050,-0.185
23,-0.060,-0.175
24,-0.040,-0.170
25,-0.010,-0.160
26,0.000,-0.175
27,0.035,-0.175
28,0.035,-0.160
29,0.060,-0.180
30,0.070,-0.170
31,0.075,-0.155
32,0.050,-0.135
33,0.040,-0.160
34,0.000,-0.185
35,-0.015,-0.230
36,-0.015,-0.280
37,-0.050,-0.300
38,-0.090,-0.305
39,-0.085,-0.300
40,-0.100,-0.275
41,-0.090,-0.260
42,-0.125,-0.285
43,-0.125,-0.275
44,-0.125,-0.285
45,-0.110,-0.290
46,-0.090,-0.325
47,-0.070,-0.345
48,-0.050,-0.345
49,-0.085,-0.360
50,-0.070,-0.400
51,-0.075,-0.390
52,-0.055,-0.370
53,-0.030,-0.380
54,-0.010,-0.375
55,-0.010,-0.375
56,-0.020,-0.380
57,-0.040,-0.385
58,-0.005,-0.365
59,-0.025,-0.365
60,-0.035,-0.365
61,-0.025,-0.350
62,-0.025,-0.365
63,-0.030,-0.360
64,-0.015,-0.360
65,-0.025,-0.340
66,-0.030,-0.335
67,-0.035,-0.320
68,-0.050,-0.280
69,-0.045,-0.220
70,-0.060,-0.215
71,-0.045,-0.140
72,-0.045,0.070
73,-0.030,0.350
74,0.000,0.625
75,0.050,0.785
76,-0.005,0.880
77,-0.025,0.890
78,-0.070,0.790
79,-0.105,0.555
80,-0.185,0.195
81,-0.405,-0.105
82,-0.690,-0.145
83,-1.040,0.040
84,-1.310,0.085
85,-1.475,-0.105
86,-1.545,-0.420
87,-1.405,-0.670
88,-1.055,-0.780
89,-0.610,-0.765
90,-0.255,-0.735
91,-0.145,-0.595
92,-0.125,-0.530
93,-0.140,-0.505
94,-0.165,-0.505
95,-0.150,-0.515
96,-0.100,-0.510
97,-0.065,-0.505
98,-0.005,-0.500
99,0.030,-0.500
100,0.085,-0.450
101,0.060,-0.495
102,0.075,-0.500
103,0.055,-0.510
104,0.060,-0.470
105,0.070,-0.475
106,0.075,-0.470
107,0.105,-0.475
108,0.095,-0.475
109,0.110,-0.470
110,0.095,-0.480
111,0.115,-0.460
112,0.110,-0.480
113,0.100,-0.465
114,0.100,-0.480
115,0.100,-0.490
116,0.115,-0.490
117,0.115,-0.490
118,0.110,-0.470
119,0.120,-0.505
120,0.105,-0.480
121,0.115,-0.460
122,0.115,-0.485
123,0.120,-0.485
124,0.110,-0.495
125,0.100,-0.490
126,0.110,-0.490
127,0.100,-0.510
128,0.080,-0.505
129,0.080,-0.485
130,0.100,-0.500
131,0.080,-0.505
132,0.095,-0.510
133,0.110,-0.505
134,0.095,-0.490
135,0.085,-0.505
136,0.090,-0.510
137,0.095,-0.475
138,0.105,-0.490
139,0.100,-0.470
140,0.115,-0.465
141,0.090,-0.450
142,0.080,-0.435
143,0.085,-0.415
144,0.070,-0.390
145,0.065,-0.385
146,0.090,-0.365
147,0.090,-0.330
148,0.060,-0.320
149,0.045,-0.325
150,0.055,-0.300
151,0.050,-0.290
152,0.015,-0.280
153,0.025,-0.270
154,0.020,-0.250
155,0.020,-0.260
156,0.010,-0.255
157,0.030,-0.255
158,0.015,-0.265
159,0.005,-0.255
160,0.005,-0.265
161,0.005,-0.275
162,0.015,-0.255
163,0.005,-0.255
164,0.010,-0.265
165,0.015,-0.280
166,0.010,-0.300
167,0.030,-0.285
168,0.030,-0.290
169,0.020,-0.285
170,0.005,-0.285
171,0.025,-0.305
172,0.015,-0.290
173,0.035,-0.300
