'sample interval','ECG','ECG'
'0.00277778 sec','mV','mV'
0,-0.330,0.055
1,-0.327,0.065
2,-0.320,0.058
3,-0.323,0.062
4,-0.320,0.070
5,-0.320,0.070
6,-0.310,0.072
7,-0.307,0.062
8,-0.307,0.072
9,-0.303,0.062
10,-0.313,0.052
11,-0.327,0.045
12,-0.337,0.037
13,-0.340,0.048
14,-0.337,0.052
15,-0.340,0.052
16,-0.320,0.050
17,-0.327,0.052
18,-0.320,0.060
19,-0.327,0.060
20,-0.323,0.055
21,-0.310,0.048
22,-0.323,0.037
23,-0.327,0.043
24,-0.327,0.035
25,-0.333,0.040
26,-0.327,0.037
27,-0.320,0.040
28,-0.317,0.045
29,-0.310,0.045
30,-0.303,0.058
31,-0.293,0.058
32,-0.290,0.043
33,-0.297,0.030
34,-0.307,0.025
35,-0.310,0.028
36,-0.310,0.025
37,-0.317,0.022
38,-0.307,0.040
39,-0.303,0.037
40,-0.310,0.040
41,-0.293,0.043
42,-0.300,0.037
43,-0.303,0.040
44,-0.303,0.035
45,-0.293,0.035
46,-0.293,0.033
47,-0.303,0.030
48,-0.310,0.022
49,-0.320,0.025
50,-0.320,0.018
51,-0.317,0.028
52,-0.320,0.035
53,-0.310,0.040
54,-0.317,0.045
55,-0.303,0.052
56,-0.287,0.043
57,-0.297,0.028
58,-0.303,0.020
59,-0.313,0.018
60,-0.310,0.010
61,-0.317,0.007
62,-0.327,0.022
63,-0.320,0.022
64,-0.310,0.035
65,-0.290,0.043
66,-0.287,0.040
67,-0.293,0.035
68,-0.287,0.028
69,-0.293,0.028
70,-0.293,0.020
71,-0.297,0.013
72,-0.310,0.022
73,-0.303,0.010
74,-0.307,0.013
75,-0.303,0.028
76,-0.293,0.030
77,-0.270,0.043
78,-0.263,0.037
79,-0.273,0.037
80,-0.263,0.033
81,-0.287,0.035
82,-0.280,0.035
83,-0.277,0.033
84,-0.280,0.040
85,-0.273,0.045
86,-0.280,0.043
87,-0.270,0.045
88,-0.257,0.048
89,-0.247,0.070
90,-0.240,0.070
91,-0.240,0.058
92,-0.233,0.045
93,-0.247,0.028
94,-0.263,0.030
95,-0.250,0.018
96,-0.260,0.000
97,-0.257,-0.003
98,-0.270,-0.018
99,-0.263,-0.020
100,-0.230,-0.022
