'sample interval','ECG','ECG'
'0.004 sec','mV','mV'
0,0.045,0.020
1,0.105,0.060
2,0.065,0.065
3,0.015,0.105
4,0.065,0.100
5,0.085,0.050
6,0.090,0.045
7,0.015,0.035
8,0.010,0.035
9,0.050,0.070
10,0.075,0.045
11,0.110,0.065
12,0.070,0.070
13,0.065,0.065
14,0.090,0.060
15,0.090,0.030
16,0.055,0.060
17,0.060,0.075
18,0.105,0.020
19,0.110,0.010
20,0.080,0.060
21,0.110,0.070
22,0.130,0.010
23,0.115,-0.010
24,0.100,0.035
25,0.110,0.055
26,0.150,0.010
27,0.130,0.005
28,0.120,0.040
29,0.155,0.040
30,0.175,0.030
31,0.175,0.050
32,0.190,0.115
33,0.205,0.185
34,0.270,0.175
35,0.315,0.230
36,0.330,0.240
37,0.390,0.270
38,0.465,0.270
39,0.450,0.240
40,0.380,0.230
41,0.380,0.235
42,0.405,0.210
43,0.350,0.215
44,0.225,0.225
45,0.190,0.240
46,0.220,0.160
47,0.155,0.115
48,0.115,0.110
49,0.110,0.125
50,0.110,0.095
51,0.095,0.110
52,0.070,0.085
53,0.120,0.065
54,0.125,0.030
55,0.100,0.040
56,0.110,0.085
57,0.125,0.055
58,0.150,-0.040
59,0.110,-0.085
60,0.135,-0.080
61,0.145,-0.180
62,0.130,-0.265
63,0.085,-0.245
64,0.055,-0.185
65,0.070,-0.255
66,0.040,-0.235
67,0.025,-0.225
68,0.020,-0.200
69,0.045,-0.195
70,0.035,-0.215
71,0.015,-0.180
72,0.035,-0.040
73,0.080,-0.010
74,0.115,-0.045
75,0.160,-0.090
76,0.130,-0.155
77,0.070,-0.340
78,0.025,-0.475
79,-0.025,-0.370
80,-0.090,-0.325
81,-0.165,-0.285
82,-0.190,-0.130
83,-0.225,-0.080
84,-0.265,-0.335
85,-0.215,-0.710
86,-0.165,-0.950
87,-0.250,-0.915
88,-0.225,-0.660
89,-0.135,-0.325
90,-0.025,0.130
91,0.150,0.320
92,0.475,0.130
93,0.865,-0.195
94,1.125,-0.525
95,1.400,-0.865
96,1.750,-1.255
97,2.040,-1.630
98,2.255,-1.890
99,2.455,-1.970
100,2.645,-1.835
101,2.630,-1.625
102,2.415,-1.475
103,2.150,-1.235
104,1.800,-1.015
105,1.275,-0.790
106,0.765,-0.530
107,0.510,-0.380
108,0.355,-0.315
109,0.265,-0.295
110,0.165,-0.190
111,0.135,-0.165
112,0.095,-0.135
113,0.055,-0.125
114,-0.025,-0.095
115,-0.040,-0.035
116,-0.020,-0.045
117,-0.065,-0.070
118,-0.095,-0.025
119,-0.100,0.000
120,-0.090,-0.020
121,-0.110,-0.045
122,-0.135,-0.010
123,-0.150,-0.030
124,-0.135,-0.040
125,-0.145,-0.040
126,-0.135,0.020
127,-0.145,0.025
128,-0.160,0.005
129,-0.145,0.015
130,-0.145,0.065
131,-0.175,0.070
132,-0.160,0.040
133,-0.175,0.025
134,-0.210,0.035
135,-0.250,0.015
136,-0.225,0.005
137,-0.235,-0.040
138,-0.270,-0.040
139,-0.285,-0.010
140,-0.275,-0.040
141,-0.260,-0.055
142,-0.265,-0.005
143,-0.265,0.010
144,-0.295,-0.075
145,-0.305,-0.035
146,-0.330,0.020
147,-0.330,0.000
148,-0.350,-0.030
149,-0.440,0.010
150,-0.390,0.020
151,-0.300,-0.020
152,-0.370,-0.030
153,-0.445,-0.025
154,-0.360,-0.010
155,-0.335,0.020
156,-0.440,0.020
157,-0.330,-0.020
158,-0.280,-0.005
159,-0.310,-0.020
160,-0.325,-0.030
161,-0.285,-0.010
162,-0.230,0.025
163,-0.195,-0.055
164,-0.095,-0.010
165,-0.095,0.005
166,-0.070,0.005
167,0.000,0.015
168,-0.030,0.040
169,0.020,0.035
170,0.025,-0.085
171,0.115,-0.265
172,0.115,-0.500
173,0.065,-0.620
174,0.030,-0.605
175,-0.035,-0.685
176,-0.095,-0.525
177,-0.120,-0.280
178,-0.120,-0.075
179,-0.055,0.030
180,0.015,0.200
181,0.020,0.460
182,0.115,0.560
183,0.240,0.550
184,0.370,0.420
185,0.475,0.235
186,0.695,0.165
187,1.005,0.070
188,1.355,-0.170
189,1.570,-0.400
190,1.615,-0.630
191,1.835,-0.705
192,2.145,-0.830
193,2.500,-1.170
194,2.855,-1.435
195,3.365,-1.695
196,4.000,-1.895
197,4.165,-1.805
198,4.405,-1.450
199,4.090,-1.195
200,3.720,-0.905
201,3.205,-0.560
202,2.565,-0.285
203,2.120,-0.135
204,1.635,-0.020
205,1.025,0.025
206,0.625,0.030
207,0.430,0.040
208,0.285,0.045
209,0.210,0.055
210,0.170,0.125
211,0.135,0.130
212,0.075,0.200
213,0.000,0.250
214,0.025,0.285
215,0.010,0.285
216,-0.025,0.355
217,-0.030,0.460
218,0.040,0.505
219,0.080,0.495
220,0.045,0.535
221,0.060,0.580
222,0.080,0.585
223,0.085,0.555
224,0.045,0.580
225,0.050,0.635
226,-0.015,0.605
227,-0.085,0.570
228,-0.240,0.610
229,-0.305,0.675
230,-0.270,0.630
231,-0.280,0.550
232,-0.330,0.565
233,-0.390,0.585
234,-0.375,0.600
235,-0.370,0.580
236,-0.410,0.575
237,-0.420,0.590
238,-0.390,0.610
239,-0.385,0.570
240,-0.470,0.600
241,-0.495,0.645
242,-0.440,0.620
243,-0.440,0.500
244,-0.485,0.460
245,-0.465,0.470
246,-0.430,0.430
247,-0.505,0.375
248,-0.580,0.425
249,-0.635,0.445
250,-0.545,0.400
251,-0.510,0.400
252,-0.490,0.420
253,-0.465,0.440
254,-0.440,0.370
255,-0.430,0.375
256,-0.430,0.425
257,-0.425,0.445
258,-0.345,0.385
259,-0.280,0.395
260,-0.270,0.415
261,-0.190,0.420
262,-0.090,0.380
263,-0.040,0.375
264,0.015,0.410
265,0.045,0.395
266,0.090,0.355
267,0.150,0.365
268,0.170,0.400
269,0.195,0.425
270,0.245,0.385
271,0.235,0.385
272,0.205,0.420
273,0.255,0.420
274,0.265,0.410
275,0.270,0.445
276,0.240,0.485
277,0.275,0.460
278,0.300,0.450
279,0.280,0.480
280,0.265,0.485
281,0.310,0.475
282,0.300,0.440
283,0.270,0.450
284,0.280,0.530
285,0.335,0.540
286,0.345,0.465
287,0.325,0.495
288,0.335,0.535
289,0.360,0.565
290,0.355,0.525
291,0.340,0.540
292,0.355,0.555
293,0.360,0.535
294,0.355,0.510
295,0.330,0.520
296,0.310,0.535
297,0.375,0.510
298,0.355,0.510
299,0.340,0.520
300,0.310,0.560
301,0.325,0.550
302,0.400,0.550
303,0.385,0.590
304,0.360,0.595
305,0.305,0.585
306,0.320,0.550
307,0.395,0.585
308,0.350,0.590
309,0.305,0.540
310,0.350,0.575
