'sample interval','ECG','ECG'
'0.00277778 sec','mV','mV'
0,-0.078,-0.062
1,-0.081,-0.062
2,-0.088,-0.062
3,-0.115,-0.065
4,-0.159,-0.065
5,-0.206,-0.062
6,-0.206,-0.058
7,-0.169,-0.058
8,-0.122,-0.058
9,-0.098,-0.058
10,-0.098,-0.065
11,-0.105,-0.069
12,-0.095,-0.065
13,-0.071,-0.062
14,-0.054,-0.055
15,-0.061,-0.047
16,-0.081,-0.044
17,-0.098,-0.047
18,-0.108,-0.055
19,-0.111,-0.062
20,-0.095,-0.069
21,-0.074,-0.076
22,-0.057,-0.080
23,-0.068,-0.080
24,-0.088,-0.076
25,-0.118,-0.069
26,-0.132,-0.065
27,-0.122,-0.058
28,-0.091,-0.055
29,-0.074,-0.062
30,-0.078,-0.069
31,-0.088,-0.073
32,-0.071,-0.076
33,-0.057,-0.076
34,-0.081,-0.076
35,-0.115,-0.080
36,-0.122,-0.076
37,-0.122,-0.069
38,-0.122,-0.062
39,-0.122,-0.058
40,-0.135,-0.065
41,-0.149,-0.084
42,-0.155,-0.098
43,-0.145,-0.105
44,-0.135,-0.095
45,-0.125,-0.080
46,-0.101,-0.076
47,-0.071,-0.084
48,-0.057,-0.080
49,-0.061,-0.080
50,-0.071,-0.076
51,-0.084,-0.084
52,-0.088,-0.091
53,-0.084,-0.098
54,-0.068,-0.091
55,-0.051,-0.084
56,-0.061,-0.073
57,-0.091,-0.065
58,-0.108,-0.065
59,-0.101,-0.065
60,-0.084,-0.065
61,-0.095,-0.069
62,-0.139,-0.076
63,-0.166,-0.087
64,-0.152,-0.087
65,-0.125,-0.087
66,-0.105,-0.076
67,-0.105,-0.073
68,-0.098,-0.069
69,-0.095,-0.069
70,-0.098,-0.073
71,-0.108,-0.084
72,-0.115,-0.091
73,-0.128,-0.102
74,-0.132,-0.098
75,-0.115,-0.087
76,-0.088,-0.080
77,-0.081,-0.080
78,-0.084,-0.076
79,-0.088,-0.076
80,-0.101,-0.076
81,-0.122,-0.080
82,-0.142,-0.087
83,-0.159,-0.091
84,-0.142,-0.091
85,-0.118,-0.087
86,-0.095,-0.073
87,-0.088,-0.069
88,-0.084,-0.069
89,-0.105,-0.080
90,-0.125,-0.087
91,-0.118,-0.087
92,-0.084,-0.087
93,-0.068,-0.084
94,-0.064,-0.076
95,-0.068,-0.076
96,-0.074,-0.080
97,-0.078,-0.084
98,-0.098,-0.080
99,-0.118,-0.076
100,-0.122,-0.076
101,-0.122,-0.080
102,-0.128,-0.080
103,-0.139,-0.076
104,-0.152,-0.065
105,-0.149,-0.058
106,-0.128,-0.065
107,-0.108,-0.076
108,-0.088,-0.076
109,-0.088,-0.073
110,-0.098,-0.069
111,-0.115,-0.069
112,-0.091,-0.069
113,-0.071,-0.065
114,-0.057,-0.062
115,-0.057,-0.065
116,-0.064,-0.069
117,-0.095,-0.065
118,-0.122,-0.065
119,-0.128,-0.076
120,-0.111,-0.080
121,-0.095,-0.069
122,-0.091,-0.058
123,-0.108,-0.047
124,-0.122,-0.051
125,-0.118,-0.062
126,-0.111,-0.073
127,-0.111,-0.080
128,-0.111,-0.084
129,-0.108,-0.080
130,-0.084,-0.073
131,-0.074,-0.069
132,-0.084,-0.065
133,-0.105,-0.058
134,-0.122,-0.051
135,-0.149,-0.055
136,-0.176,-0.073
137,-0.162,-0.091
138,-0.125,-0.095
139,-0.108,-0.087
140,-0.122,-0.076
141,-0.125,-0.073
142,-0.125,-0.069
143,-0.118,-0.069
144,-0.101,-0.069
