'sample interval','ECG1','ECG2'
'0.0078125 sec','mV','mV'
0,0.270,-0.430
1,0.570,-0.930
2,0.360,-1.480
3,-0.280,-1.360
4,-0.390,-0.820
5,-0.320,-0.360
6,-0.370,-0.120
7,-0.240,-0.030
8,-0.200,0.060
9,-0.170,0.070
10,-0.160,0.090
11,-0.170,0.100
12,-0.140,0.120
13,-0.170,0.140
14,-0.150,0.130
15,-0.140,0.150
16,-0.130,0.150
17,-0.140,0.150
18,-0.150,0.190
19,-0.140,0.180
20,-0.130,0.180
21,-0.160,0.210
22,-0.110,0.210
23,-0.130,0.220
24,-0.150,0.230
25,-0.120,0.240
26,-0.110,0.290
27,-0.120,0.270
28,-0.100,0.300
29,-0.100,0.320
30,-0.080,0.350
31,-0.070,0.350
32,-0.050,0.390
33,-0.020,0.370
34,0.010,0.360
35,0.060,0.320
36,0.030,0.330
37,0.100,0.270
38,0.080,0.210
39,0.130,0.140
40,0.080,0.130
41,0.050,0.100
42,-0.020,0.080
43,-0.080,0.070
44,-0.060,0.050
45,-0.100,0.050
46,-0.070,0.030
47,-0.120,0.030
48,-0.090,-0.010
49,-0.050,-0.010
50,-0.100,0.010
51,-0.060,-0.040
52,-0.080,0.000
53,-0.090,0.010
54,-0.110,0.020
55,-0.030,0.000
56,-0.150,0.020
57,-0.100,0.060
58,-0.080,0.030
59,-0.100,0.020
60,-0.060,0.060
61,-0.160,0.040
62,-0.110,0.060
63,-0.100,0.040
64,-0.110,0.060
65,-0.110,0.040
66,-0.090,0.020
67,-0.080,0.020
68,-0.120,0.060
69,-0.100,0.010
70,-0.100,0.020
71,-0.070,-0.010
72,-0.080,0.040
73,-0.050,0.080
74,-0.050,0.090
75,-0.030,0.100
76,0.020,-0.020
77,0.010,-0.020
78,-0.040,-0.060
79,0.000,-0.050
80,-0.090,-0.020
81,-0.100,-0.100
82,-0.110,-0.080
83,-0.140,-0.190
84,-0.160,-0.130
85,-0.160,-0.140
86,-0.120,-0.170
87,-0.150,-0.150
88,-0.130,-0.080
89,-0.140,-0.060
90,-0.150,-0.070
91,-0.150,-0.100
92,-0.140,-0.050
93,-0.160,-0.090
94,-0.160,-0.070
95,-0.140,-0.080
96,-0.160,-0.080
97,-0.140,-0.070
98,-0.150,-0.090
99,-0.150,-0.190
100,0.000,-0.270
101,0.060,-0.310
102,0.190,-0.430
103,0.420,-0.730
104,0.520,-1.000
105,-0.120,-0.910
106,-0.460,-0.860
107,-0.540,-0.730
108,-0.450,-0.240
109,-0.380,-0.110
110,-0.240,-0.030
111,-0.170,0.020
112,-0.160,0.030
113,-0.160,0.060
114,-0.130,0.060
115,-0.140,0.060
116,-0.130,0.060
117,-0.120,0.070
118,-0.120,0.090
119,-0.140,0.090
120,-0.120,0.070
121,-0.110,0.080
122,-0.120,0.090
123,-0.140,0.100
124,-0.110,0.110
125,-0.110,0.120
126,-0.120,0.140
127,-0.110,0.140
128,-0.110,0.170
129,-0.090,0.180
130,-0.090,0.220
131,-0.070,0.210
132,-0.050,0.240
133,-0.030,0.250
134,-0.010,0.250
135,0.010,0.250
136,0.040,0.210
137,0.070,0.200
138,0.090,0.200
139,0.120,0.130
140,0.110,0.080
141,0.060,0.110
142,0.030,0.060
143,-0.010,0.050
144,-0.040,0.020
145,-0.070,0.060
146,-0.090,0.040
147,-0.110,0.010
148,-0.040,0.030
149,-0.180,0.050
150,-0.120,0.020
151,-0.120,0.020
152,-0.110,0.010
153,-0.120,0.020
154,-0.100,0.000
155,-0.120,0.020
156,-0.110,0.000
157,-0.110,-0.010
158,-0.100,0.010
159,-0.100,-0.010
160,-0.100,-0.020
161,-0.090,-0.010
162,-0.080,-0.010
163,-0.070,-0.020
164,-0.100,-0.010
165,-0.060,-0.010
166,-0.080,0.000
167,-0.090,-0.020
168,-0.060,-0.020
169,-0.090,0.000
170,-0.060,0.000
171,-0.080,-0.020
172,-0.060,0.000
173,-0.070,0.010
174,-0.060,0.010
175,-0.030,0.080
176,0.000,0.130
177,0.030,0.090
178,0.130,0.020
179,0.030,-0.070
180,0.070,0.020
181,-0.230,0.090
182,-0.010,-0.010
183,-0.070,0.020
184,-0.120,-0.040
185,-0.080,-0.050
186,-0.120,-0.060
187,-0.090,0.000
188,-0.070,-0.010
189,-0.070,-0.020
190,-0.080,0.020
191,-0.080,0.060
192,-0.090,0.060
193,-0.110,0.080
194,-0.100,0.070
195,-0.070,0.060
196,-0.050,0.080
197,-0.110,0.070
198,-0.080,0.070
199,-0.110,0.060
200,-0.080,0.070
201,-0.070,-0.010
202,0.000,-0.030
203,0.100,-0.090
204,0.200,-0.210
205,0.370,-0.530
206,0.840,-1.170
207,0.200,-1.700
208,-0.440,-1.065
209,-0.200,-0.510
210,-0.270,-0.160
211,-0.170,0.030
212,-0.150,0.070
213,-0.090,0.100
214,-0.140,0.140
215,-0.130,0.140
216,-0.130,0.140
217,-0.100,0.130
218,-0.110,0.150
219,-0.090,0.150
220,-0.090,0.170
221,-0.100,0.140
222,-0.080,0.170
223,-0.120,0.180
224,-0.070,0.180
225,-0.050,0.170
226,-0.090,0.210
227,-0.080,0.220
228,-0.090,0.230
229,-0.080,0.240
230,-0.090,0.260
231,-0.070,0.290
232,-0.040,0.290
233,-0.030,0.310
234,-0.030,0.340
235,-0.020,0.370
236,0.040,0.360
237,0.060,0.350
238,0.080,0.340
239,0.160,0.330
240,0.190,0.260
241,0.200,0.220
242,0.230,0.140
243,0.230,0.080
244,0.130,0.060
245,0.090,0.030
246,0.090,0.060
247,0.040,0.010
248,0.000,0.070
249,-0.020,0.020
250,0.050,-0.010
251,-0.020,0.020
252,0.040,0.000
253,0.050,-0.100
254,0.100,-0.130
255,0.100,-0.190
256,-0.240,0.130
257,-0.580,0.410
258,-0.910,0.730
259,-0.980,0.770
260,-1.100,1.030
261,-1.370,1.180
262,-1.250,1.480
263,-1.260,1.610
264,-1.460,1.380
265,-1.200,1.280
266,-0.760,0.970
267,-0.510,1.180
268,-0.480,1.230
269,-0.430,1.190
270,-0.350,1.070
271,-0.260,0.910
272,-0.170,0.280
273,0.010,-0.120
274,0.130,-0.240
275,0.180,-0.250
276,0.240,-0.240
277,0.300,-0.280
278,0.350,-0.350
279,0.400,-0.380
280,0.390,-0.440
281,0.440,-0.490
282,0.460,-0.520
283,0.540,-0.560
284,0.560,-0.610
285,0.600,-0.680
286,0.690,-0.750
287,0.760,-0.840
288,0.920,-0.880
289,0.980,-0.950
290,1.080,-1.040
291,1.230,-1.010
292,1.120,-1.010
293,0.980,-0.980
294,0.900,-0.990
295,0.800,-0.940
296,0.680,-0.900
297,0.570,-0.790
298,0.470,-0.700
299,0.350,-0.560
300,0.240,-0.440
301,0.160,-0.350
302,0.100,-0.260
303,0.080,-0.170
304,0.020,-0.090
305,0.010,-0.060
306,-0.010,0.030
307,-0.020,0.040
308,-0.040,0.040
309,-0.030,0.050
310,-0.050,0.070
311,-0.040,0.060
312,-0.030,0.060
313,-0.030,0.030
314,-0.030,0.080
315,-0.060,0.080
316,-0.030,0.020
317,0.020,0.040
318,-0.070,0.050
319,-0.030,0.070
320,-0.020,0.020
321,-0.030,0.010
322,0.000,0.010
323,-0.030,0.010
324,-0.050,0.000
325,0.030,-0.010
326,-0.040,0.020
327,-0.030,0.040
328,-0.070,0.000
329,-0.010,-0.010
330,-0.050,0.020
331,-0.010,-0.030
332,-0.050,0.010
333,-0.040,-0.010
334,-0.030,-0.030
335,-0.030,0.020
336,-0.040,-0.010
337,-0.030,-0.030
338,-0.060,-0.010
339,-0.040,-0.020
340,-0.050,-0.020
341,-0.040,-0.020
342,-0.030,-0.030
343,-0.050,-0.030
344,-0.010,-0.050
345,-0.020,-0.050
346,-0.050,-0.010
347,-0.070,-0.030
348,-0.050,-0.040
349,-0.040,-0.060
350,-0.040,-0.050
351,-0.030,-0.070
352,-0.050,-0.050
353,-0.030,-0.060
354,0.020,-0.040
355,-0.030,-0.060
356,-0.050,-0.050
357,-0.040,-0.060
358,-0.030,-0.050
359,0.000,-0.030
360,-0.010,-0.050
361,-0.050,-0.020
362,-0.040,-0.020
363,0.000,-0.020
364,-0.050,-0.010
365,-0.020,-0.040
366,-0.040,-0.020
367,0.000,-0.030
368,-0.020,-0.010
369,0.000,-0.020
370,-0.080,-0.030
371,0.020,-0.050
372,-0.050,-0.020
373,0.000,-0.050
374,-0.030,-0.030
375,-0.080,-0.030
376,-0.020,-0.050
377,0.000,-0.080
378,-0.050,0.020
379,0.000,0.010
380,0.000,0.040
381,0.080,-0.020
382,0.050,-0.020
383,0.040,-0.080
384,0.030,-0.080
385,-0.010,-0.070
386,-0.020,-0.120
387,-0.070,-0.130
388,-0.050,-0.150
389,-0.100,-0.180
390,-0.070,-0.170
391,-0.030,-0.200
392,-0.010,-0.160
393,-0.050,-0.180
394,-0.060,-0.100
395,-0.100,-0.120
396,-0.010,-0.150
397,-0.060,-0.120
398,-0.040,-0.130
399,-0.030,-0.140
400,-0.030,-0.140
401,-0.030,-0.150
402,-0.030,-0.160
403,-0.020,-0.230
404,0.070,-0.240
405,0.140,-0.290
406,0.290,-0.370
407,0.400,-0.610
408,0.840,-0.930
409,0.200,-1.070
410,-0.440,-1.090
411,-0.370,-0.860
412,-0.370,-0.390
413,-0.380,-0.190
414,-0.170,-0.080
415,-0.130,-0.040
416,-0.120,-0.020
417,-0.100,0.030
418,-0.100,0.040
419,-0.100,0.020
420,-0.030,0.030
421,-0.080,0.070
422,-0.110,0.050
423,-0.070,0.060
424,-0.070,0.080
425,-0.080,0.060
426,-0.070,0.100
427,-0.060,0.100
428,-0.080,0.100
429,-0.040,0.110
430,-0.070,0.100
431,-0.050,0.110
432,-0.080,0.140
433,-0.060,0.130
434,-0.040,0.180
435,-0.020,0.190
436,-0.050,0.210
437,-0.030,0.230
438,0.000,0.230
439,0.000,0.250
440,0.050,0.240
441,0.050,0.220
442,0.070,0.210
443,0.120,0.150
444,0.130,0.130
445,0.130,0.080
446,0.140,0.060
447,0.120,0.040
448,0.080,0.020
449,0.040,0.030
450,0.010,0.000
451,0.000,0.020
452,-0.010,0.000
453,-0.010,0.040
454,-0.030,-0.010
455,-0.030,0.030
456,-0.030,0.020
457,-0.050,0.030
458,-0.050,0.020
459,-0.040,0.040
460,-0.030,0.050
461,-0.070,0.030
462,-0.060,0.040
463,-0.040,0.050
464,-0.030,0.050
465,-0.040,0.030
466,-0.080,0.030
467,-0.030,0.060
468,-0.030,0.030
469,-0.020,0.050
470,-0.040,-0.010
471,-0.030,0.020
472,-0.040,0.040
