'sample interval','ECG1','ECG2'
'0.0078125 sec','mV','mV'
0,-0.355,-0.215
1,-0.355,-0.205
2,-0.345,-0.205
3,-0.335,-0.215
4,-0.335,-0.225
5,-0.345,-0.225
6,-0.345,-0.235
7,-0.375,-0.235
8,-0.365,-0.255
9,-0.355,-0.255
10,-0.365,-0.245
11,-0.355,-0.265
12,-0.385,-0.295
13,-0.385,-0.285
14,-0.375,-0.285
15,-0.415,-0.295
16,-0.405,-0.285
17,-0.415,-0.305
18,-0.415,-0.265
19,-0.385,-0.285
20,-0.395,-0.295
21,-0.395,-0.305
22,-0.405,-0.285
23,-0.395,-0.285
24,-0.395,-0.295
25,-0.385,-0.295
26,-0.385,-0.275
27,-0.355,-0.275
28,-0.365,-0.285
29,-0.375,-0.255
30,-0.345,-0.235
31,-0.325,-0.185
32,-0.325,-0.205
33,-0.285,-0.125
34,-0.215,-0.125
35,-0.195,-0.135
36,-0.235,-0.205
37,-0.285,-0.245
38,-0.315,-0.305
39,-0.395,-0.305
40,-0.415,-0.295
41,-0.415,-0.315
42,-0.385,-0.285
43,-0.385,-0.305
44,-0.395,-0.295
45,-0.405,-0.285
46,-0.325,-0.265
47,-0.505,-0.355
48,-0.765,-0.075
49,-0.695,0.325
50,0.095,0.125
51,1.265,-0.165
52,2.455,0.305
53,3.025,-0.135
54,1.425,-1.285
55,-0.625,-1.045
56,-1.085,-0.705
57,-0.935,-0.495
58,-0.765,-0.235
59,-0.485,0.045
60,-0.375,0.065
61,-0.375,0.065
62,-0.325,0.105
63,-0.335,0.125
64,-0.305,0.165
65,-0.285,0.185
66,-0.245,0.235
67,-0.205,0.265
68,-0.175,0.305
69,-0.185,0.335
70,-0.125,0.405
71,-0.115,0.465
72,-0.075,0.525
73,-0.025,0.625
74,0.045,0.725
75,0.135,0.805
76,0.185,0.885
77,0.275,0.975
78,0.365,1.035
79,0.435,1.065
80,0.495,1.045
81,0.545,0.975
82,0.555,0.885
83,0.565,0.715
84,0.445,0.515
85,0.295,0.325
86,0.145,0.165
87,-0.025,0.015
88,-0.145,-0.085
89,-0.245,-0.145
90,-0.285,-0.155
91,-0.305,-0.195
92,-0.345,-0.225
93,-0.365,-0.215
94,-0.365,-0.235
